,Title,Score,Score Title,Number of Reviews,Description,Nearest Metropolis,City,Hotel Brand,Type,Star
571,The Landing Resort and Spa,9.1, Awesome ,273,"Located in Heavenly Village Ski Resort, The Landing Resort and Spa offers free transportation to the Heavenly Village and Casinos. Rooms include a 55-inch wall-mounted LCD TV and plush terry...",Lake Tahoe,South Lake Tahoe,Local,Resort,5
572,"The Langham Huntington, Pasadena",9.0, Awesome ,606,"Just a 15-minute drive away from Central Los Angeles, The Langham Huntington, Pasadena is surrounded by 23 acres of lush gardens. ",Los Angeles,Pasadena,Langham,Resort,5
573,La Casa del Zorro Resort,9.1, Awesome ,333,"With 5 outdoor pools and 6 tennis courts, this luxurious resort is a 10-minute drive from Anza-Borrego Desert State Park. Plush bathrobes and free Wi-Fi are included in all rooms. ",San Diego,Borrego Springs,Local,Resort,5
574,Montage Laguna Beach,9.2, Awesome ,108,"On the beach, this luxurious Laguna Beach resort features an ocean-facing pool and a terrace. All rooms feature a deep, marble soaking bathtub, and there are three on-site restaurants. ",Los Angeles,Laguna Beach,Montage,Resort,5
575,Carneros Resort and Spa,8.4, Very Good ,92,"Perched atop Napa Valley, the Carneros Resort and Spa features 3 outdoor pools, 3 full-service gourmet restaurants and an award-winning spa. ",Napa,Napa,Local,Resort,5
576,"The Ritz-Carlton, Laguna Niguel",8.3, Very Good ,39,"This luxury hotel is located on a bluff overlooking the Pacific Ocean and offers beach access. The hotel features a full-service spa, 2 outdoor pools, multiple dining options and a tennis court. ",Los Angeles,Dana Point,Ritz-Carlton,Resort,5
577,Terranea - L.A.'s Oceanfront Resort,9.0, Awesome ,363,"Nestled on 102 private acres of California's secluded Palos Verdes Peninsula, Terranea - L.A.'s Oceanfront Resort offers scenic views of the Pacific Ocean and Catalina Island. ",Los Angeles,Rancho Palos Verdes,Local,Resort,5
578,Meadowood Napa Valley,9.3, Awesome ,43,"Meadowood Napa Valley offers an elegant on-site restaurant, wine tastings, and tennis lessons. It is 5 minutes' drive from downtown St Helena and the Meadowood Golf Club is on site. ",Napa,St. Helena,Local,Resort,5
579,Four Seasons Residence Club Aviara,9.2, Awesome ,58,"This Carlsbad resort offers accommodation with fully-equipped kitchens and kitchenettes. Two outdoor swimming pools, restaurants and a health spa are located on site. ",San Diego,Carlsbad,Four Seasons,Resort,5
580,Parker Palm Springs,8.8, Excellent ,255,"Just a 4 minute drive from Palm Springs International Airport, this luxurious resort features 3 pools, a spa center and 2 restaurants on-site. It offers uniquely-styled guest rooms with free Wi-Fi. ",Palm Springs,Palm Springs,Local,Resort,5
581,"La Quinta Resort & Club, A Waldorf Astoria Resort",8.9, Excellent ,273,"This luxury resort features 41 pools, 53 hot tubs, 23 tennis courts, and spacious rooms with a flat-screen TV. ",Palm Springs,La Quinta,Waldorf Astoria,Resort,5
582,Ojai Valley Inn,9.3, Awesome ,104,"Surrounded by scenic hills and mountains, this historic and celebrated resort features a full health spa and a championship golf course. ",Santa Barbara,Ojai,Local,Resort,5
583,"The Claremont Club & Spa, A Fairmont Hotel",8.8, Excellent ,423,"Located in Berkeley, California, this iconic hotel features 22 acres of landscaped gardens and a rejuvenating spa. ",San Francisco,Berkeley,Fairmont,Resort,5
584,Rosewood CordeValle,9.2, Awesome ,19,"Featuring an outdoor swimming pool, championship golf course, a full service spa and 3 fine dining restaurants, this luxury wine country resort is less than a 10 minute walk from on-site wine tasting...",San Francisco,San Martin,Rosewood,Resort,5
585,Constellation Residences at Northstar,9.5, Exceptional ,8,"In Tahoe National Forest in Truckee, California, these luxury accommodations feature on-site dining and a spa. Each guest suite includes a gourmet kitchen and spa bathtub. ",Lake Tahoe,Truckee,Local,Resort,5
586,Monarch Beach Resort,8.8, Excellent ,131,"Located in Dana Point on a hillside overlooking the Pacific Ocean, this resort offers 7 on-site restaurants, in room dining, 3 swimming pools including a children’s pool, a championship golf course...",Los Angeles,Dana Point,Local,Resort,5
587,Bernardus Lodge & Spa,9.4, Awesome ,211,"This Carmel Valley resort features star-rated dining, a wellness spa and outdoor heated pool. A limestone fireplace, 2-person soaking tub and down feather bedding are featured in each guest room. ",Monterey,Carmel Valley,Local,Resort,5
588,"Ventana Big Sur, An Alila Resort – Adult Only",9.3, Awesome ,96,"Located on a hillside overlooking Big Sur's beautiful Pacific coastline, Ventana Inn & Spa is an adults only resort located on 160 secluded acres. ",Monterey,Big Sur,Local,Resort,5
589,"Solage, An Auberge Resort",9.2, Awesome ,87,"Half a mile from Calistoga, this Napa Valley luxury resort features an on-site health and wellness spa, a star-rated restaurant, and luxurious guest suites and studios with free Wi-Fi. ",Napa,Calistoga,Auberge,Resort,5
590,Calistoga Ranch,9.4, Awesome ,18,"Nestled on 157 acres in Napa Valley, Calistoga Ranch features an on-site pool and a restaurant that serves authentic regional dishes. An outdoor rain shower is featured in each guest room. ",Napa,Calistoga,Local,Resort,5
